,edge,ligand_A,ligand_B,ddg_expt,ddg,ddg_booterr,ddg_BARerr,dg_water_rep1,dg_water_rep1_booterr,dg_water_rep1_BARerr,dg_water_rep2,dg_water_rep2_booterr,dg_water_rep2_BARerr,dg_water_rep3,dg_water_rep3_booterr,dg_water_rep3_BARerr,dg_protein_rep1,dg_protein_rep1_booterr,dg_protein_rep1_BARerr,dg_protein_rep2,dg_protein_rep2_booterr,dg_protein_rep2_BARerr,dg_protein_rep3,dg_protein_rep3_booterr,dg_protein_rep3_BARerr,target,group
0,edge_CAT-13a_CAT-13m,CAT-13a,CAT-13m,0.3347236709594727,-1.8066666666667288,0.5891445130272137,0.6454186076552318,-316.86,0.32,0.33,-316.53,0.27,0.28,-317.16,0.27,0.28,-318.2,0.74,1.05,-319.54,0.56,0.55,-318.23,0.77,0.85,bace,jacs_set
1,edge_CAT-13n_CAT-13a,CAT-13n,CAT-13a,-1.255200798034668,-6.153333333333308,1.8197103989175865,1.842943569665976,373.2,0.38,0.35,372.94,0.35,0.34,372.34,0.33,0.33,370.57,0.73,0.59,363.33,0.76,0.85,366.12,1.0,1.48,bace,jacs_set
2,edge_CAT-13a_CAT-17g,CAT-13a,CAT-17g,-3.765598403930664,0.9899999999999948,1.665915825881196,1.686822908750337,91.12,0.26,0.27,91.05,0.28,0.28,90.89,0.25,0.27,90.4,0.6,1.11,89.69,0.71,0.6,95.94,0.52,0.5,bace,jacs_set
3,edge_CAT-13a_CAT-17i,CAT-13a,CAT-17i,-2.635916488647461,-2.9733333333333363,1.8267257232967626,1.825419533054409,23.0,0.26,0.26,22.94,0.27,0.27,23.28,0.27,0.27,15.85,0.57,0.55,21.24,0.39,0.35,23.21,0.48,0.44,bace,jacs_set
4,edge_CAT-13d_CAT-13b,CAT-13d,CAT-13b,5.648397605895997,6.963333333333331,0.8014409846950726,0.7948960451740716,-54.31,0.31,0.33,-53.48,0.42,0.34,-55.4,0.3,0.35,-46.57,0.41,0.34,-46.88,0.41,0.4,-48.85,0.46,0.5,bace,jacs_set
5,edge_CAT-13b_CAT-17g,CAT-13b,CAT-17g,-2.594079521179199,-3.376666666666651,1.5266722403126811,1.5267162091105368,83.68,0.32,0.32,82.59,0.28,0.29,82.69,0.36,0.35,76.76,0.53,0.68,82.9,0.51,0.41,79.17,0.53,0.5,bace,jacs_set
6,edge_CAT-17g_CAT-13c,CAT-17g,CAT-13c,1.7572803192138673,6.193333333333335,2.6014560562829145,2.606259116355445,-54.53,0.44,0.44,-53.87,0.35,0.42,-54.38,0.38,0.42,-43.5,0.59,0.82,-54.08,0.8,0.52,-46.62,0.61,0.73,bace,jacs_set
7,edge_CAT-13c_CAT-17i,CAT-13c,CAT-17i,-0.627598403930664,-4.773333333333335,3.0788874175127434,3.101043809744765,-13.52,0.46,0.43,-13.31,0.39,0.41,-13.42,0.33,0.42,-22.58,0.69,0.65,-21.01,2.09,2.32,-10.98,0.51,1.29,bace,jacs_set
8,edge_CAT-13d_CAT-13f,CAT-13d,CAT-13f,5.773916488647461,7.223333333333336,0.7564426009745064,0.7541264636328158,-28.65,0.24,0.27,-28.7,0.36,0.29,-27.95,0.34,0.33,-19.55,0.38,0.34,-22.02,0.28,0.41,-22.06,0.47,0.35,bace,jacs_set
9,edge_CAT-13d_CAT-13h,CAT-13d,CAT-13h,3.514556648254395,3.9333333333333353,1.8448818379658984,1.8400415419686875,4.09,0.21,0.22,4.58,0.24,0.26,4.5,0.29,0.26,5.33,0.54,0.44,12.66,0.45,0.49,6.98,0.4,0.42,bace,jacs_set
10,edge_CAT-13d_CAT-13i,CAT-13d,CAT-13i,5.020799201965332,2.386666666666665,1.068248474088198,1.1008364983388743,-11.53,0.36,0.39,-10.94,0.37,0.35,-10.04,0.43,0.39,-6.34,0.55,0.72,-10.19,0.6,0.79,-8.82,0.62,0.66,bace,jacs_set
11,edge_CAT-13d_CAT-17a,CAT-13d,CAT-17a,-1.0878409576416013,-2.446666666666665,0.280714104968659,0.2861098145367475,-11.74,0.18,0.18,-11.53,0.19,0.19,-11.99,0.17,0.18,-14.55,0.31,0.41,-13.85,0.31,0.29,-14.2,0.26,0.24,bace,jacs_set
